Date,Rented Bike Count,Hour,Temperature(°C),Humidity(%),Wind speed (m/s),Visibility (10m),Dew point temperature(°C),Solar Radiation (MJ/m2),Rainfall(mm),Snowfall (cm),Seasons,Holiday,Functioning Day,Day of the week
01/12/2017,862,18,0.6,66,1.4,2000,-5,0,0,0,Winter,No Holiday,Yes,Friday
02/12/2017,489,18,5.5,53,1.5,1697,-3.3,0,0,0,Winter,No Holiday,Yes,Saturday
03/12/2017,443,18,6,84,1.9,327,3.4,0,0,0,Winter,No Holiday,Yes,Sunday
04/12/2017,807,18,-2.1,29,3.9,2000,-17.7,0,0,0,Winter,No Holiday,Yes,Monday
05/12/2017,789,18,-2.6,40,0,2000,-14.4,0,0,0,Winter,No Holiday,Yes,Tuesday
06/12/2017,204,18,1.7,90,1,66,0.2,0,0.3,0.3,Winter,No Holiday,Yes,Wednesday
07/12/2017,795,18,0.7,46,2.7,1558,-9.6,0,0,0,Winter,No Holiday,Yes,Thursday
08/12/2017,752,18,-3.1,33,1.2,2000,-17.1,0,0,0,Winter,No Holiday,Yes,Friday
09/12/2017,384,18,2.5,41,1,1974,-9.4,0,0,0,Winter,No Holiday,Yes,Saturday
10/12/2017,210,18,2,61,3,2000,-4.7,0,0,0,Winter,No Holiday,Yes,Sunday
11/12/2017,557,18,-7.9,43,3.3,2000,-18.3,0,0,0,Winter,No Holiday,Yes,Monday
12/12/2017,529,18,-7.7,36,1,2000,-20.2,0,0,0,Winter,No Holiday,Yes,Tuesday
13/12/2017,537,18,-6.6,33,1.1,2000,-20.2,0,0,0,Winter,No Holiday,Yes,Wednesday
14/12/2017,612,18,-3.5,35,1.1,1414,-16.7,0,0,0,Winter,No Holiday,Yes,Thursday
15/12/2017,682,18,0.1,43,0.9,1485,-11,0,0,0,Winter,No Holiday,Yes,Friday
16/12/2017,212,18,-5.3,28,3.5,2000,-21,0,0,0,Winter,No Holiday,Yes,Saturday
17/12/2017,204,18,-4.7,37,1.8,2000,-17.2,0.01,0,0,Winter,No Holiday,Yes,Sunday
18/12/2017,281,18,0,88,0.6,277,-1.7,0,0,2.7,Winter,No Holiday,Yes,Monday
